"sistema","codigo_reservatorio","reservatorio","res_latitude","res_longitude","municipio","codigo_municipio_ibge","estado_nome","estado_sigla","rio","sub_bacia","bacia"
"nordeste_semiarido",12001,"25 DE MARÇO",-6.110896,-38.216597,"PAU DOS FERROS",2409407,"Rio Grande do Norte","RN","RIACHO CAJAZEIRAS","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12002,"ABÓBORAS",-8.087024,-39.429267,"PARNAMIRIM",2610400,"Pernambuco","PE","RIO SÃO DOMINGOS","TERRA NOVA","TERRA NOVA"
"nordeste_semiarido",12003,"ACARAPE DO MEIO",-4.193478,-38.799304,"REDENÇÃO",2311603,"Ceará","CE","RIO PACOTI","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12004,"ACARAÚ MIRIM",-3.506032,-40.278611,"MASSAPÊ",2308005,"Ceará","CE","RIO ACARAÚ MIRIM","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12005,"ACAUÃ",-7.441694,-35.561031,"ITATUBA",2507200,"Paraíba","PB","RIO PARAÍBA","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12006,"ADAUTO BEZERRA",-6.037721,-38.447133,"PEREIRO",2310803,"Ceará","CE","RIO SÃO CAETANO","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12007,"ADUSTINA",-10.56941,-38.071554,"ADUSTINA",2900355,"Bahia","BA","RIO DO POÇO","VAZA-BARRIS","VAZA-BARRIS"
"nordeste_semiarido",12008,"ÁGUA FRIA II",-14.911967,-40.571129,"BARRA DO CHOÇA",2902906,"Bahia","BA","SEM RIO - ÁGUA FRIA","RIO PARDO","RIO PARDO"
"nordeste_semiarido",12009,"AIPIM",-10.597067,-40.343297,"ANTONIO GONÇALVES",2901809,"Bahia","BA","RIO AIPIM","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12010,"ALAGADIÇO",-10.519163,-37.577109,"FREI PAULO",2802304,"Sergipe","SE","RIACHO CAMPINAS","VAZA BARRIS","VAZA BARRIS"
"nordeste_semiarido",12011,"ALBINO",-7.374894,-37.519856,"IMACULADA",2506707,"Paraíba","PB","RIACHO ALBINO","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12012,"ALDEIAS",-9.020236,-42.699912,"S. RAIMUNDO NONATO",2210607,"Piauí","PI","RIO PIAUÍ","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12013,"ALECRIM",-5.964628,-36.657729,"SANTANA DO MATOS",2411403,"Rio Grande do Norte","RN","RIO SANTAN DOS MATOS","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12014,"ALGODÃO",-6.905246,-36.002692,"ALGODÃO DE JANDAÍRA",2500577,"Paraíba","PB","RIACHO DO CÁGADO","CURIMATAÚ","CURIMATAÚ"
"nordeste_semiarido",12015,"ALGODOEIRO",-10.119789,-37.600511,"N. S. DA GLÓRIA",2804508,"Sergipe","SE","RIACHO ALAGADIÇO","SÃO FRANCISCO","SÃO FRANCISCO"
"nordeste_semiarido",12016,"ALGODÕES",-7.976932,-40.321232,"OURICURI",2609907,"Pernambuco","PE","RIACHO SÃO PEDRO","BRÍGIDA","BRÍGIDA"
"nordeste_semiarido",12017,"ALGODÕES I *",-3.498578,-41.415062,"COCAL",2202703,"Piauí","PI","RIO PIRANGI","LONGÁ","LONGÁ"
"nordeste_semiarido",12018,"ALGODÕES II",-10.19921,-44.227633,"CURIMATÁ",2203206,"Piauí","PI","RIO CURIMATÁ","GURGUEIA","GURGUEIA"
"nordeste_semiarido",12019,"AMANARY",-4.011256,-38.884857,"MARANGUAPE",2307700,"Ceará","CE","RIACHO DOS POCINHOS","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12020,"ANAGÉ",-14.631817,-41.186868,"ANAGÉ-CARAÍBAS",NA,"Bahia","BA","RIO GAVIÃO","RIO DE CONTAS","RIO DE CONTAS"
"nordeste_semiarido",12021,"ANAJÁS",-4.24954,-41.781734,"PIRIPIRI",2208403,"Piauí","PI","RIACHO AZEDO","LONGÁ","LONGÁ"
"nordeste_semiarido",12022,"ANDORINHA II",-10.301191,-39.784789,"ANDORINHA",2901353,"Bahia","BA","RIACHO CABLOCO","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12023,"ANGICOS",-3.635406,-40.821024,"COREAÚ",2304004,"Ceará","CE","RIACHO JUAZEIRO","COREAÚ","COREAÚ"
"nordeste_semiarido",12024,"APERTADO",-13.077674,-41.442421,"MUCUGÊ",2921906,"Bahia","BA","RIO APERTADO","PARAGUAÇU","PARAGUAÇU"
"nordeste_semiarido",12025,"ARAÇAGI",-6.852893,-35.29569,"ARAÇAGI",2500809,"Paraíba","PB","RIO MAMANGUAPE","MAMANGUAPE","MAMANGUAPE"
"nordeste_semiarido",12026,"ARACI",-11.25233,-39.100692,"ARACI",2902104,"Bahia","BA","RIO POÇO GRANDE","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12027,"ARACOIABA",-4.403134,-38.696529,"ARACOIABA",2301208,"Ceará","CE","RIO ARACOIABA","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12028,"ARAPIRACA",-9.761456,-36.676903,"ARAPIRACA",2700300,"Alagoas","AL","RIO PERUCABA","S.FCO./PERUCABA","S.FCO./PERUCABA"
"nordeste_semiarido",12029,"ARAPUÃ",-6.394432,-38.390912,"LUIS GOMES",2407005,"Rio Grande do Norte","RN","RIO ANGICOS","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12030,"ARARAS",-4.209084,-40.450768,"VARJOTA",2313955,"Ceará","CE","RIO ACARAÚ","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12031,"ARARIPINA (BAIXIO)",-7.5768,-40.4723,"ARARIPINA",2601102,"Pernambuco","PE","RIACHO DOS MORAES","BRÍGIDA","BRÍGIDA"
"nordeste_semiarido",12032,"ARCOVERDE",-8.558867,-36.988031,"PEDRA",2610806,"Pernambuco","PE","RIACHO MORORÓ","IPANEMA","IPANEMA"
"nordeste_semiarido",12033,"ARNEIROZ II",-6.27156,-40.219067,"ARNEIROZ",2301505,"Ceará","CE","RIO JAGUARIBE","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12034,"ARREBITA",-3.84735,-40.272479,"FORQUILHA",2304350,"Ceará","CE","RIACHO SABONETE","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12035,"ARROJADO",-6.51105,-38.412223,"UIRAUNA",2516904,"Paraíba","PB","RIACHO MORTO 2","PEIXE","PEIXE"
"nordeste_semiarido",12036,"ATALHO",-7.641615,-38.894556,"BREJO SANTO",2302503,"Ceará","CE","RIACHO DOS PORCOS","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12037,"AYRES DE SOUZA",-3.77963,-40.498189,"SOBRAL",2312908,"Ceará","CE","RIO JAIBARAS","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12038,"BAIÃO",-6.172755,-37.330665,"SÃO J. DO BREJO DA CRUZ",2514651,"Paraíba","PB","RIO BAIÃO","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12039,"BANABUIÚ",-5.328722,-38.923017,"BANABUIÚ",2301851,"Ceará","CE","RIO BANABUIÚ","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12040,"BANDEIRA DE MELO",-13.029961,-40.816265,"ITAETÊ/BOA VISTA DO TUPIM",NA,"Bahia","BA","RIO PARAGUAÇU","PARAGUAÇU","PARAGUAÇU"
"nordeste_semiarido",12041,"BARRA",-8.081123,-37.314144,"SERTÂNIA",2614105,"Pernambuco","PE","RIACHO DOS CAMPOS","MOXOTÓ","MOXOTÓ"
"nordeste_semiarido",12042,"BARRA DO JUÁ",-8.448386,-38.073954,"FLORESTA",2605707,"Pernambuco","PE","RIACHO DO NAVIO","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12043,"BARRA VELHA",-5.321239,-40.325877,"INDEPENDÊNCIA",2305605,"Ceará","CE","RIACHO SANTA CRUZ","PARNAÍBA","PARNAÍBA"
"nordeste_semiarido",12044,"BARREIRAS",-7.093661,-40.587901,"FRONTEIRAS",2204303,"Piauí","PI","RIO CATOLÉ","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12045,"BARRINHA",-7.725054,-39.266796,"CEDRO",2604304,"Pernambuco","PE","RIACHO AMOLAR","BRÍGIDA","BRÍGIDA"
"nordeste_semiarido",12046,"BARTOLOMEU I",-7.312292,-38.480263,"BONITO DE SANTA FÉ",2502409,"Paraíba","PB","RIO PIRANHAS","ALTO PIRANHAS","ALTO PIRANHAS"
"nordeste_semiarido",12047,"BASTIANA",-7.249676,-37.281592,"TEIXEIRA",2516706,"Paraíba","PB","SEM RIO - BASTIANA","ESPINHARAS","ESPINHARAS"
"nordeste_semiarido",12048,"BATENTE",-4.653693,-38.487844,"OCARA",2309458,"Ceará","CE","SEM RIO - BATENTE","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12049,"BELDROEGA",-5.767987,-37.073239,"PARAÚ",2408706,"Rio Grande do Norte","RN","RIO PARAÚ","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12050,"BELO JARDIM (IPOJUCA)",-8.345861,-36.374535,"BELO JARDIM",2601706,"Pernambuco","PE","RIO IPOJUCA","IPOJUCA","IPOJUCA"
"nordeste_semiarido",12051,"BENEDITINOS",-5.442279,-42.364057,"BENEDITINOS",2201606,"Piauí","PI","RIACHO TABOQUINHA","POTI","POTI"
"nordeste_semiarido",12052,"BENGUÊ",-6.596227,-40.13937,"AIUABA",2300408,"Ceará","CE","RIACHO UMBUZEIRO","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12053,"BICHINHO",-7.748952,-36.31387,"BARRA DE S. MIGUEL",2501708,"Paraíba","PB","RIACHO DO BAIXINHO","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12054,"BICO DA PEDRA",-15.829092,-43.262394,"JANAÚBA",3135100,"Minas Gerais","MG","SEM RIO - BICO DA PEDRA","GOROTUBA","GOROTUBA"
"nordeste_semiarido",12055,"BITA",-8.371537,-35.049469,"IPOJUCA",2607208,"Pernambuco","PE","RIO TABATINGA","GL-2","GL-2"
"nordeste_semiarido",12056,"BOA VISTA",-8.060194,-39.053173,"SALGUEIRO",2612208,"Pernambuco","PE","RIACHO BOA VISTA","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12057,"BOA VISTA",-7.369236,-37.218551,"ITAPETIM",2607703,"Pernambuco","PE","RIACHO DO BELÉM","TERRA NOVA","TERRA NOVA"
"nordeste_semiarido",12058,"BOCAINA",-6.913662,-41.307014,"BOCAINA",2201804,"Piauí","PI","RIO GUARIBAS","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12059,"BOM JESUS",-7.020686,-38.395455,"CARRAPATEIRA",2504108,"Paraíba","PB","RIACHO VAZANTE","ALTO PIRANHAS","ALTO PIRANHAS"
"nordeste_semiarido",12060,"BOM JESUS II",-7.45631,-37.641064,"ÁGUA BRANCA",2500106,"Paraíba","PB","SEM RIO - BOM JESUS II","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12061,"BOM SUCESSO",-7.641263,-37.356671,"TUPARETAMA",2615904,"Pernambuco","PE","RIACHO BOM SUCESSO","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12062,"BONFIM",-9.160102,-42.873806,"BOM FIM",2201929,"Piauí","PI","RIO PIAUÍ","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12063,"BONITO",-4.336614,-40.629133,"IPÚ",2305803,"Ceará","CE","RIO IPUZINHO","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12064,"BONITO II",-6.215604,-38.431088,"SÃO MIGUEL",2412500,"Rio Grande do Norte","RN","RIACHO SÃO MIGUEL","SALGADO","SALGADO"
"nordeste_semiarido",12065,"BOQUEIRÃO DE ANGICOS",-5.572468,-36.475142,"AFONSO BEZERRA",2400307,"Rio Grande do Norte","RN","RIO CABUGI","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12066,"BOQUEIRÃO DE PARELHAS (MINISTRO JOAÕ ALVES)",-6.692431,-36.629413,"PARELHAS",2408904,"Rio Grande do Norte","RN","RIO SERIDÓ","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12067,"BOQUEIRÃO DO CAIS",-6.528488,-36.110342,"CUITÉ",2505105,"Paraíba","PB","RIO CAMPO COMPRIDO","JACU","JACU"
"nordeste_semiarido",12068,"BOTAFOGO",-7.836493,-35.033327,"IGARASSU",2606804,"Pernambuco","PE","RIO BOTAFOGO","GL-1","GL-1"
"nordeste_semiarido",12069,"BREJINHO",-7.131759,-35.628049,"JUAREZ TÁVORA",2507606,"Paraíba","PB","RIACHO DO BREJO","IPOJUCA","IPOJUCA"
"nordeste_semiarido",12070,"BREJO",-5.957518,-37.720923,"OLHO-DÁGUA DO BORGES",2408409,"Rio Grande do Norte","RN","RIACHO DAS FLORES","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12071,"BREJO DO BURACO",-8.395701,-36.065191,"SAO CAETANO",2613107,"Pernambuco","PE","RIACHO ÁGUA BRANCA","UNA","UNA"
"nordeste_semiarido",12072,"BREJO DOS COELHOS",-8.386294,-36.072627,"SAO CAETANO",2613107,"Pernambuco","PE","RIACHO DO BREJO","IPOJUCA","IPOJUCA"
"nordeste_semiarido",12073,"BROCO",-6.005614,-40.3242,"TAUÁ",2313302,"Ceará","CE","SEM RIO - BROCO","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12074,"BROTAS",-7.743437,-37.619741,"AFOGADOS DA INGAZEIRA",2600104,"Pernambuco","PE","RIO PAJEÚ","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12075,"BRUSCAS",-7.545772,-38.16256,"CURRAL VELHO",2505303,"Paraíba","PB","RIACHO DE BRUSCAS","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12076,"CACHIMBO",-7.992284,-39.769826,"PARNAMIRIM",2610400,"Pernambuco","PE","RIACHO DO MOCAMBO","BRÍGIDA","BRÍGIDA"
"nordeste_semiarido",12077,"CACHOEIRA",-6.990829,-39.01764,"AURORA",2301703,"Ceará","CE","RIACHO CAIÇARA","SALGADO","SALGADO"
"nordeste_semiarido",12078,"CACHOEIRA DA VACA",-6.954902,-38.678726,"CACHOEIRA DOS ÍNDIOS",2503308,"Paraíba","PB","RIACHO CACHOEIRA DA VACA","PEIXE","PEIXE"
"nordeste_semiarido",12079,"CACHOEIRA DOS ALVES",-7.321212,-38.230164,"ITAPORANGA",2507002,"Paraíba","PB","RIACHO CACHOEIRA","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12080,"CACHOEIRA DOS CEGOS",-7.088845,-37.65439,"CANTINGUEIRA",2504207,"Paraíba","PB","RIACHO DA GOIABEIRA","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12081,"CACHOEIRA GRANDE",-11.351806,-40.431917,"JACOBINA",2917508,"Bahia","BA","SEM RIO - CACHOEIRA GRANDE","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12082,"CACHOEIRA I",-8.066952,-37.222412,"SERTÂNIA",2614105,"Pernambuco","PE","RIACHO GRANDE","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12083,"CACHOEIRA II",-7.974222,-38.322501,"SERRA TALHADA",2613909,"Pernambuco","PE","RIO CACHOEIRA","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12084,"CACIMBA",-8.194657,-40.423918,"SANTA CRUZ DE MALTA",2513208,"Pernambuco","PE","RIACHO SÃO JOSÉ","PARNAÍBA","PARNAÍBA"
"nordeste_semiarido",12085,"CACIMBA DE VÁRZEA",-6.690507,-35.779734,"CACIMBA DE DENTRO",2503506,"Paraíba","PB","RIO CURIMATAÚ","CURIMATAÚ","CURIMATAÚ"
"nordeste_semiarido",12086,"CAFUNDÓ",-7.205785,-38.376048,"SERRA GRANDE",2515708,"Paraíba","PB","RIACHO CAFUNDÓ","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12087,"CAIANINHA",-8.442063,-35.807182,"SÃO JOAQUIM DO MONTE",2613305,"Pernambuco","PE","RIACHO CAIANINHA","UNA","UNA"
"nordeste_semiarido",12088,"CAJAZEIRAS",-6.891303,-40.632241,"PIO IX",2208205,"Piauí","PI","RIO CONDADO","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12089,"CALDEIRÃO",-4.332251,-41.724674,"PIRIPIRI",2208403,"Piauí","PI","RIO CALDEIRÃO","LONGÁ","LONGÁ"
"nordeste_semiarido",12090,"CALDEIRÃO DE PARELHAS",-6.70409,-36.690096,"PARELHAS",2408904,"Rio Grande do Norte","RN","RIACHO DOS QUINTOS","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12091,"CAMALAÚ",-7.885393,-36.836844,"CAMALAÚ",2503902,"Paraíba","PB","RIO MONTEIRO","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12092,"CAMPO GRANDE",-9.944094,-36.787061,"CAMPO GRANDE",2701506,"Alagoas","AL","RIO ITIÚBA","SÃO FRANCISCO","SÃO FRANCISCO"
"nordeste_semiarido",12093,"CAMPO GRANDE",-5.891527,-35.770031,"SÃO PAULO DO POTENGI",2412609,"Rio Grande do Norte","RN","RIO POTENGI","POTENGI","POTENGI"
"nordeste_semiarido",12094,"CAMPO MAIOR",-4.83215,-42.164295,"CAMPO MAIOR",2202208,"Piauí","PI","RIO LONGÁ","LONGÁ","LONGÁ"
"nordeste_semiarido",12095,"CAMPOS",-7.763231,-36.549978,"CARAUBAS",2504074,"Paraíba","PB","RIACHO VELHA ANTÔNIA","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12096,"CANAFÍSTULA",-5.870366,-38.31813,"IRACEMA",2306009,"Ceará","CE","RIACHO FOICE","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12097,"CANAFÍSTULA II",-6.791721,-35.618829,"BORBOREMA",2502706,"Paraíba","PB","RIO PIRPIRITUBA","MAMANGUAPE","MAMANGUAPE"
"nordeste_semiarido",12098,"CANOAS",-6.946661,-39.941323,"ASSARÉ",2301604,"Ceará","CE","RIACHO SÃO GONÇALO","TAPEROÁ","TAPEROÁ"
"nordeste_semiarido",12099,"CAPITÃO MOR",-5.625592,-39.99875,"PEDRA BRANCA",2310506,"Ceará","CE","RIACHO CAPITÃO MOR","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12100,"CAPIVARA",-6.543451,-38.470259,"UIRAUNA",2516904,"Paraíba","PB","SEM RIO - CAPIVARA","PEIXE","PEIXE"
"nordeste_semiarido",12101,"CAPOEIRA",-7.164113,-37.412916,"SANTA TEREZINHA",2513802,"Paraíba","PB","RIACHO DA CRUZ","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12102,"CARACOL",-9.283984,-43.321567,"CARACOL",2202505,"Piauí","PI","RIACHO CARACOL","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12103,"CARAIBEIRAS",-6.557192,-36.378574,"PICUÍ",2511400,"Paraíba","PB","RIACHO DA BARRA","SERIDÓ","SERIDÓ"
"nordeste_semiarido",12104,"CARAIBINHAS",-9.485115,-36.682051,"PALMEIRA DOS ÍNDIOS",2706307,"Alagoas","AL","RIACHO DOCE","COMPLEMENTAR","COMPLEMENTAR"
"nordeste_semiarido",12105,"CARÃO",-4.816291,-40.362568,"TAMBORIL",2313203,"Ceará","CE","RIO ACARAÚ","ACARAÚ","ACARAÚ"
"nordeste_semiarido",12106,"CARIRA",-10.374519,-37.697677,"CARIRA",2801405,"Sergipe","SE","RIO GROTIÃO DE CARIRA","SERGIPE","SERGIPE"
"nordeste_semiarido",12107,"CARMINA",-4.666117,-40.202971,"CATUNDA",2303659,"Ceará","CE","RIACHO DOS MACACOS","ACARAÚ","ACARAÚ"
